date,strategy,policy_code,evaluation_jobs,no_action,C_dynamic_baseline_carbon_kg,C_dynamic_policy_carbon_kg,C_dynamic_saving_kg,C_dynamic_saving_g_per_eval_job,C_dynamic_reduction_pct,C_dynamic_baseline_replay_range_pct,C_dynamic_inside_observed_baseline_range,C_dynamic_policy_repeats,C_dynamic_policy_repeat_range_pct,C_whole_baseline_carbon_kg,C_whole_policy_carbon_kg,C_whole_saving_kg,C_whole_saving_g_per_eval_job,C_whole_reduction_pct,C_whole_baseline_replay_range_pct,C_whole_inside_observed_baseline_range,C_whole_policy_repeats,C_whole_policy_repeat_range_pct,R_dynamic_baseline_carbon_kg,R_dynamic_policy_carbon_kg,R_dynamic_saving_kg,R_dynamic_saving_g_per_eval_job,R_dynamic_reduction_pct,R_dynamic_baseline_replay_range_pct,R_dynamic_inside_observed_baseline_range,R_dynamic_policy_repeats,R_dynamic_policy_repeat_range_pct,R_whole_baseline_carbon_kg,R_whole_policy_carbon_kg,R_whole_saving_kg,R_whole_saving_g_per_eval_job,R_whole_reduction_pct,R_whole_baseline_replay_range_pct,R_whole_inside_observed_baseline_range,R_whole_policy_repeats,R_whole_policy_repeat_range_pct,A_dynamic_baseline_carbon_kg,A_dynamic_policy_carbon_kg,A_dynamic_saving_kg,A_dynamic_saving_g_per_eval_job,A_dynamic_reduction_pct,A_dynamic_baseline_replay_range_pct,A_dynamic_inside_observed_baseline_range,A_dynamic_policy_repeats,A_dynamic_policy_repeat_range_pct,A_whole_baseline_carbon_kg,A_whole_policy_carbon_kg,A_whole_saving_kg,A_whole_saving_g_per_eval_job,A_whole_reduction_pct,A_whole_baseline_replay_range_pct,A_whole_inside_observed_baseline_range,A_whole_policy_repeats,A_whole_policy_repeat_range_pct
2025-11-13,b1_runtime_4h,B1,5806,False,79.04460068793247,77.95098646453829,1.0936142233941837,0.18835932197626312,1.383540702181247,0.007763703824110816,False,1,0.0,1814.6246006879328,1813.5309864645385,1.0936142233942974,0.1883593219762827,0.06026669223924899,0.0003381850264877678,False,1,0.0,289.18400816888413,291.27587100782586,-2.091862838941722,-0.3602932895180369,-0.7233673992512302,0.0012932602480634024,False,1,0.0,2024.764008168884,2026.855871007826,-2.0918628389420064,-0.36029328951808587,-0.10331390870750434,0.00018470803542683012,False,1,0.0,161.10640376295987,158.5754587855408,2.530944977419068,0.4359188731345277,1.5709772661445007,4.021506137936629,False,1,0.0,1896.68640376296,1894.1554587855408,2.530944977419267,0.435918873134562,0.1334403500967772,0.34159067640715146,False,1,0.0
2025-11-13,b2_q75_cap50,B2,5806,False,79.04460068793247,78.59641118590677,0.4481895020256985,0.07719419600855985,0.5670083701164454,0.007763703824110816,False,1,0.0,1814.6246006879328,1814.1764111859063,0.4481895020264801,0.07719419600869447,0.024698744955654703,0.0003381850264877678,False,1,0.0,289.18400816888413,289.9153028336272,-0.7312946647430749,-0.12595498876043315,-0.2528821249050525,0.0012932602480634024,False,1,0.0,2024.764008168884,2025.4953028336272,-0.7312946647432454,-0.12595498876046252,-0.03611752588414485,0.00018470803542683012,False,1,0.0,161.10640376295987,161.81324504578333,-0.7068412828234614,-0.12174324540534988,-0.43874189126799434,4.021506137936629,True,1,0.0,1896.68640376296,1897.3932450457835,-0.7068412828234614,-0.12174324540534988,-0.03726716664500324,0.34159067640715146,True,1,0.0
2025-11-13,adaptive_balanced,AD,5806,False,79.04460068793247,78.46729776984877,0.5773029180837028,0.0994321250574755,0.7303508564271084,0.007763703824110816,False,2,0.0033051119829536086,1814.6246006879328,1814.0472977698487,0.5773029180841149,0.09943212505754649,0.03181390343023326,0.0003381850264877678,False,2,0.00014396986398149795,289.18400816888413,290.07746942721315,-0.8934612583290118,-0.15388585227850704,-0.308959428284578,0.0012932602480634024,False,2,0.000651620978189599,2024.764008168884,2025.657469427213,-0.8934612583291255,-0.1538858522785266,-0.04412668610882393,0.00018470803542683012,False,2,9.306682928243957e-05,161.10640376295987,156.87082285733456,4.235580905625312,0.7295178962496232,2.629058067646544,4.021506137936629,False,2,0.7459285376406968,1896.68640376296,1892.450822857335,4.235580905625056,0.7295178962495791,0.22331477134131456,0.34159067640715146,False,2,0.06335990173442403
2025-11-13,time_hybrid_08_18,HY,5806,False,79.04460068793247,78.41765952602674,0.6269411619057337,0.10798159867477328,0.7931486229918384,0.007763703824110816,False,1,0.0,1814.6246006879328,1813.9976595260268,0.626941161905961,0.10798159867481244,0.034549358675523556,0.0003381850264877678,False,1,0.0,289.18400816888413,290.03602661990357,-0.8520184510194326,-0.1467479247363818,-0.2946284811578695,0.0012932602480634024,False,1,0.0,2024.764008168884,2025.6160266199036,-0.8520184510196032,-0.14674792473641116,-0.04207988919114256,0.00018470803542683012,False,1,0.0,161.10640376295987,162.68594646253754,-1.5795426995776722,-0.27205351353387397,-0.9804344598875755,4.021506137936629,True,1,0.0,1896.68640376296,1898.2659464625376,-1.579542699577587,-0.27205351353385926,-0.08327906481766459,0.34159067640715146,True,1,0.0
2025-11-13,history_only,HI,5806,False,79.04460068793247,78.82688137087078,0.21771931706169312,0.03749902119560681,0.275438569069692,0.007763703824110816,False,1,0.0,1814.6246006879328,1814.406881370871,0.21771931706189207,0.03749902119564107,0.011998036231810902,0.0003381850264877678,False,1,0.0,289.18400816888413,289.9756153819252,-0.7916072130410612,-0.13634295780934572,-0.2737382395567188,0.0012932602480634024,False,1,0.0,2024.764008168884,2025.5556153819252,-0.7916072130412886,-0.13634295780938488,-0.039096270471401094,0.00018470803542683012,False,1,0.0,161.10640376295987,163.93137547217526,-2.82497170921539,-0.48656074908980196,-1.7534819493406644,4.021506137936629,True,1,0.0,1896.68640376296,1899.5113754721751,-2.824971709215106,-0.486560749089753,-0.14894247692240847,0.34159067640715146,True,1,0.0
2025-11-13,dynamic_forecast_balanced_oracle,OR,5806,True,79.04460068793247,79.04652813874766,-0.001927450815188081,-0.0003319756829466209,-0.0024384345020574435,0.007763703824110816,True,1,0.0,1814.6246006879328,1814.6265281387475,-0.0019274508147191227,-0.00033197568286584957,-0.00010621760632961864,0.0003381850264877678,True,1,0.0,289.18400816888413,289.1792864186457,0.004721750238445566,0.0008132535718989951,0.0016327840077823572,0.0012932602480634024,False,1,0.0,2024.764008168884,2024.7592864186456,0.004721750238331879,0.0008132535718794142,0.00023320002821474695,0.00018470803542683012,False,1,0.0,161.10640376295987,162.62582513656105,-1.5194213736011761,-0.261698479779741,-0.9431166844470944,4.021506137936629,True,1,0.0,1896.68640376296,1898.205825136561,-1.5194213736010624,-0.2616984797797214,-0.08010925636344433,0.34159067640715146,True,1,0.0
2025-11-13,low_impact_dynamic_q25,LI,5806,False,79.04460068793247,79.03018048732677,0.014420200605698597,0.00248367216770558,0.018243119049496433,0.007763703824110816,False,1,0.0,1814.6246006879328,1814.610180487327,0.014420200605854916,0.002483672167732504,0.0007946657727657913,0.0003381850264877678,False,1,0.0,289.18400816888413,289.2273282925639,-0.04332012367979132,-0.007461268287942012,-0.014980124230967942,0.0012932602480634024,False,1,0.0,2024.764008168884,2024.807328292564,-0.04332012368013238,-0.007461268288000755,-0.002139514704200485,0.00018470803542683012,False,1,0.0,161.10640376295987,161.7159570439568,-0.60955328099692,-0.10498678625506716,-0.3783544705608176,4.021506137936629,True,1,0.0,1896.68640376296,1897.2959570439568,-0.6095532809968063,-0.10498678625504758,-0.03213779989077128,0.34159067640715146,True,1,0.0
2025-11-15,b1_runtime_4h,B1,1629,False,70.29311078350656,70.22772762098383,0.06538316252273546,0.040136993568284506,0.09301503631573073,0.008444073604276958,False,1,0.0,2250.3731107835065,2250.307727620984,0.0653831625222665,0.040136993567996625,0.0029054365344554894,0.0002637607952399649,False,1,0.0,351.6586145969761,351.80341957262544,-0.14480497564932193,-0.08889194330836214,-0.0411777131680047,0.0026876577721524774,False,1,0.0,2531.738614596976,2531.883419572626,-0.14480497565000405,-0.08889194330878088,-0.005719586327558359,0.00037331579304186735,False,1,0.0,108.83656947314552,111.01078835115838,-2.1742188780128657,-1.3346954438384688,-1.9976914823186662,1.058950859578579,False,1,0.0,2288.9165694731455,2291.090788351158,-2.1742188780126526,-1.334695443838338,-0.09498899641034564,0.05035245947113596,False,1,0.0
2025-11-15,b2_q75_cap50,B2,1629,True,70.29311078350656,70.27911056520887,0.01400021829769571,0.008594363595884414,0.01991691382220161,0.008444073604276958,False,1,0.0,2250.3731107835065,2250.3591105652085,0.014000218297951506,0.008594363596041439,0.0006221287585984835,0.0002637607952399649,False,1,0.0,351.6586145969761,351.67933933562523,-0.02072473864910762,-0.012722368722595224,-0.0058934255521820595,0.0026876577721524774,False,1,0.0,2531.738614596976,2531.759339335625,-0.02072473864927815,-0.012722368722699908,-0.0008185970909393147,0.00037331579304186735,False,1,0.0,108.83656947314552,109.94889867771644,-1.1123292045709263,-0.6828294687359892,-1.022017884205165,1.058950859578579,False,1,0.0,2288.9165694731455,2290.028898677717,-1.1123292045713242,-0.6828294687362334,-0.04859631929823271,0.05035245947113596,False,1,0.0
2025-11-15,adaptive_balanced,AD,1629,False,70.29311078350656,70.29174997525064,0.0013608082559244394,0.000835364184115678,0.001935905582718551,0.008444073604276958,True,2,0.01664308869262573,2250.3731107835065,2250.37174997525,0.0013608082563223434,0.0008353641843599407,6.047033933179882e-05,0.0002637607952399649,True,2,0.0005198668930422459,351.6586145969761,351.6909126728148,-0.03229807583869615,-0.019826934216510834,-0.009184497264687192,0.0026876577721524774,False,2,0.003321280353637939,2531.738614596976,2531.770912672815,-0.03229807583920774,-0.019826934216824885,-0.0012757271091490315,0.00037331579304186735,False,2,0.00046132599991167446,108.83656947314552,108.96373244302083,-0.1271629698753145,-0.07806198273499969,-0.116838458333337,1.058950859578579,True,2,0.6042530167098268,2288.9165694731455,2289.043732443021,-0.12716296987537135,-0.07806198273503459,-0.005555596546039302,0.05035245947113596,True,2,0.028731857818498067
