date,strategy,policy_code,evaluation_jobs,no_action,directly_delayed_jobs,directly_delayed_pct,mean_intentional_delay_s,mean_actual_added_wait_s,paired_added_wait_p95_s,paired_added_wait_p99_s,mean_positive_added_wait_s,max_actual_added_wait_s,jobs_later_over_60s,jobs_earlier_over_60s,positive_added_wait_h,earlier_start_benefit_h,top_user_positive_wait_share,policy_delay_h,top_user_delay_share,max_user_delay_minutes,max_user_delayed_jobs,delayed_beyond_runtime,not_directly_delayed_mean_actual_added_wait_s
2025-11-13,b1_runtime_4h,B1,5806,False,1026.0,17.671374440234242,2180.865828453324,2115.3331320062002,13444.151764,13719.13292725,2184.972553312608,50532.736041,1051.0,362.0,3523.8751790369447,114.35652022444444,0.5026016297840259,3517.2519444444442,0.5058850000240876,106759.5,539,696,-82.51295765439332
2025-11-13,b2_q75_cap50,B2,5806,False,705.0,12.142611091973821,1320.9028591112642,1260.2081990415088,14362.44834125,14400.01163445,1327.5756880341028,50533.479636,709.0,322.0,2141.0845679794447,109.58689354222223,0.5722501979864381,2130.322777777778,0.5766383602276233,73705.55,421,666,-73.30286191707508
2025-11-13,adaptive_balanced,AD,5806,False,470.0,8.095074061315879,750.747330347916,697.4045166296935,5992.667296125001,13419.183189974996,764.3778216883397,50533.203347999995,796.0,277.5,1232.771564645139,108.01740646375002,0.7582059475183449,1210.788611111111,0.7708855500283447,56002.76666666667,254,0,-63.83433380106821
2025-11-13,time_hybrid_08_18,HY,5806,False,860.0,14.812263176024802,1902.191870478815,1837.6536276148815,14359.758654750001,14399.9967502,1905.8562742803997,50467.061925999995,954.0,309.0,3073.722646797778,111.15330094777778,0.6171355675871242,3067.8127777777777,0.6209448352907238,114296.55,539,797,-75.7347515590376
2025-11-13,history_only,HI,5806,False,10.0,0.17223561832586978,19.322941784361007,23.763741918015846,65.33185824999998,81.47995854999999,32.554553490699284,14095.214691,496.0,78.0,52.50326043527779,16.48947928861111,0.41929085941764377,31.163611111111113,0.6371925946394031,1191.4333333333334,7,2,3.148591086956525
2025-11-13,dynamic_forecast_balanced_oracle,OR,5806,True,0.0,0.0,0.0,-4.84634353031347,12.704975249999999,53.245492399999996,2.7668009696865328,91.08162800000001,6.0,326.0,4.462235119444447,13.42385259361111,0.6278799207141643,0.0,0.0,0.0,0,0,-4.84634353031347
2025-11-13,low_impact_dynamic_q25,LI,5806,False,2.0,0.03444712366517396,1.2400964519462625,2.4556694853599685,52.75806775,70.9084847,7.944953951085084,3600.067265,96.0,184.0,12.813445177777778,11.164849737777777,0.6528132870410749,2.0,0.5,60.0,1,0,1.21597428687112
2025-11-15,b1_runtime_4h,B1,1629,False,324.0,19.88950276243094,1747.1553100061387,1587.1357520705956,12819.047351399999,15582.96414824001,1922.318673718846,40570.003075,604.0,330.0,869.8491998577778,153.33888235555554,0.47600212716799345,790.5877777777778,0.5207180592779774,24700.4,157,276,-362.6345049762452
2025-11-15,b2_q75_cap50,B2,1629,True,0.0,0.0,0.0,-35.97324469244927,72.84705919999988,235.2037645600003,16.647929120319255,1672.8187830000097,102.0,370.0,7.533187926944462,25.819956499722206,0.312562184064698,0.0,0.0,0.0,0,0,-35.97324469244927
2025-11-15,adaptive_balanced,AD,1629,False,73.0,4.481276856967464,119.87661141804789,186.1661702237569,2625.5518703999996,15552.702957840003,545.476825092388,40590.503507500005,444.5,366.0,246.82826335430553,153.09406180277776,0.6133668262374286,54.244166666666665,0.7342110518796184,2389.6,44,0,-145.44872545533423
